"publisher","year","value"
"iucn_nl",2019,30725275.0461
"iucn_nl",2020,28862919.402
"jocc_uk",2018,75975.395024
"jocc_uk",2019,73279.1475
"jocc_uk",2020,69482.356568
"kad",2019,417.352386
"kad",2020,385.465418
"ketou",2018,2700
"kiyo",2018,2479260.32192
"kiyo",2019,2348743.368708
"kiyo",2020,2277767.84064
"klouekanme",2018,13500
"kmss",2018,819211.2468
"kmss",2019,698204.4966
"kmss",2020,550701.546
"knvb",2018,315425.002
"knvb",2019,225681.8223
"kpmgea",2018,3733486.614322
"lc",2018,4174557.518
"lc",2019,3705905.9187
"lc",2020,3604482.898
"lcdi_admin",2018,3132989.8254
"lcdi_admin",2019,3972088.2357
"lcdi_admin",2020,2266363.4187
"lftw-be",2018,3247017.01868
"lftw-be",2019,3922541.099643
"lftw-be",2020,3380436.1717
"lstm",2018,783580.3336
"mag",2018,2911748.6
"mag",2019,2246196.5802
"mag",2020,1517553.416
"mainline",2018,2566976.028
"mainline",2019,2512470.84315
"mainline",2020,2546102.428
"marysmeals",2018,4460667.5588
"max-foundation",2018,2380278.28
"max-foundation",2019,2860029.4629
"max-foundation",2020,2027514.44
"mce",2018,42775787.230242
"mce",2019,16133874.3961
"mce",2020,10062068.9062
"mck",2018,6957906.104356
"medair",2018,3884231.2178
"medecins",2018,4469548.926
"medecins",2019,3998861.2662
"medecins",2020,2899816.254
"memisa",2018,7386765.47226
"memisa",2019,7895800.005318
"memisa",2020,7126417.56308
"mfat",2018,65896996.3136
"mfat",2019,26695436.575
"mfat",2020,4479611.0678
"minbuza_nl",2018,422800083.652
"mm1",2018,1355241.014
"mm1",2019,1184024.1081
"mm1",2020,394401.928
"mmh",2018,55172.6478
"mmh",2019,64549.2861
"mmh",2020,64827.6229
"mmha",2018,554408.746
"mmha",2019,611992.0008
"mmha",2020,556879.184
"mmr_admin2",2018,111800
"mondefemmes",2018,962922.888
"mondefemmes",2019,968213.7663
"mondefemmes",2020,963627.372
"mondiaalfnv",2018,8650684
"motivation",2018,140125.5984
"motivation",2019,154136.2095
"motivation",2020,39812.4532
"msi",2018,30839678.2954
"msi",2019,44130180.2364
"msi",2020,39796792.4699
"msmgf",2018,1400316.13
"msv",2018,1692174.126
"msv",2019,1780459.311
"msv",2020,1739949.764
"mukisa_foundation",2018,43284.66
"nathan",2018,9635040
"nathan",2019,10649340
"ncea",2018,6752234.824
"nchrdk",2018,207750.1608
"nchrdk",2019,203510.3616
"ngo-federatie",2018,1052242.92
"ngo-federatie",2019,1315425.3921
"ngo-federatie",2020,1329342.332
"nl-kvk-41207989",2018,558820.666
"nl-kvk-54436222-27541",2018,5943567.84
"nlrc",2018,5573329.476
"norad",2018,517364366.3792
"norad",2019,2019238099.3036
"norad",2020,1081468516.4022
"npa",2018,2500000
"nrc",2018,19808151.195954
"nrc",2019,11447190.979768
"nrc",2020,6343308.3631
"nrgi",2018,4226464.185314
"nri",2018,393905.861
"nswp",2018,457017.984
"odakorea",2018,225173403.3366
"odi",2018,26984528.441506
"odi",2019,11041899.3477
"odi",2020,3969171.4149
"odi_sales_ltd",2018,1671457.2988
"odi_sales_ltd",2019,1996108.3935
"odi_sales_ltd",2020,1507212.5596
"omdm",2018,862926.57888
"omdm",2019,961339.587942
"omdm",2020,961906.35554
"oneacrefund",2018,123342354
"oneacrefund",2019,148660647
"oneacrefund",2020,175763487
"onl",2018,74962075.242
"onl",2019,65337352.7928
"open_university",2018,2841837.6514
"open_university",2019,2542950.7038
"open_university",2020,2431799.5264
"opml",2018,5867964.485386
"opml",2019,5157137.7
"opportunity-international-uk",2018,1651000.2354
"opportunity-international-uk",2019,1081653.4638
"orbis_africa",2018,415023.9952
"orbis_africa",2019,77924.5974
"orbis_ethiopia",2018,726781.7728
"orbis_ethiopia",2019,469933.2963
"orbis_ethiopia",2020,477596.8353
"orbis_international",2018,760958.0626
"orbis_international",2019,515600.7831
"orbis_international",2020,512935.5395
"orbis_uk",2018,1153924.5072
"orbis_uk",2019,637648.713
"orbis_uk",2020,558755.5985
"oww",2018,1175701.38086
"oww",2019,1265524.654419
"oww",2020,1235458.2755
"oxfamgb",2018,29135042.833
"oxfamus",2018,35023247.46
"oxsol",2018,7804318.82
"oxsol",2019,6838232.5935
"oxsol",2020,6499071.264
"pacam",2018,107406.6084
"pacam",2019,64977.8571
"pacam",2020,65258.0419
"palladium",2018,138935665.6072
"partos_nl",2018,1387620
"partos_nl",2019,1369251
"partos_nl",2020,1387620
"peas",2018,970283.3212
"peas",2019,351182.7657
"peas",2020,309499.9556
"phase_worldwide",2018,56434.784512
"phase_worldwide",2019,113826.574485
"phase_worldwide",2020,156453.171869
"pib",2018,3514294.714
"pib",2019,3661013.2107
"pib",2020,3502496.386
"pin",2018,45280114.47814
"plan_uk",2019,12320912.3544
"plan_uk",2020,4820147.6026
"plan_uk",2018,7303106.9404
"populationcouncil",2018,870955.704
"populationcouncil",2019,455212.7613
"populationcouncil",2020,827359.53
"posneg",2018,104000
"prefa_1",2018,370166.193
"protos",2018,5311152.316
"protos",2019,5223462.0159
"protos",2020,4697880.018
"psi",2018,11361385.9302
"psi",2019,7155762.9741
"psi",2020,5343294.5068
"pumnl",2018,13790697.702
"pumnl",2019,14271951.2766
"pumnl",2020,15012658.408
"pumpaid",2018,71404.76
"pwc",2018,8198767.3366
"pwcplindia",2018,6021900
"quinoa",2018,309150.39784
